119,கவர்ந்த கண்கள்,சாண்டில்யன்,வானதி பதிப்பகம்,2015
120,நாக தேவி ,சாண்டில்யன்,வானதி பதிப்பகம்,2006
121,நாக தீபம்,சாண்டில்யன்,வானதி பதிப்பகம்,2016
122,நாக தீபம்,சாண்டில்யன்,வானதி பதிப்பகம்,2002
123,நில மங்கை,சாண்டில்யன்,வானதி பதிப்பகம்,2010
124,நீல ரதி,சாண்டில்யன்,பாரதி பதிப்பகம்,2005
125,பல்லவ திலகம்,சாண்டில்யன்,வானதி பதிப்பகம்,2015
126,மலை அரசி,சாண்டில்யன்,வானதி பதிப்பகம்,2016
127,மலைவாசல்,சாண்டில்யன்,வானதி பதிப்பகம்,2006
128,மலைவாசல்,சாண்டில்யன்,வானதி பதிப்பகம்,2016
129,மலை அரசி,சாண்டில்யன்,வானதி பதிப்பகம்,2004
130,மன்னன் மகள்,சாண்டில்யன்,வானதி பதிப்பகம்,2014
131,மாதவியின் மனம்,சாண்டில்யன்,பாரதி பதிப்பகம்,2001
132,மோகனச் சிலை,சாண்டில்யன்,,
133,மோகனச் சிலை ,சாண்டில்யன்,வானதி பதிப்பகம்,2016
134,மோகினி வனம்,சாண்டில்யன்,வானதி பதிப்பகம்,2016
135,யவனராணி - 1,சாண்டில்யன்,வானதி பதிப்பகம்,2016
136,யவனராணி - 2,சாண்டில்யன்,வானதி பதிப்பகம்,2016
137,யவனராணி - 1,சாண்டில்யன்,வானதி பதிப்பகம்,2008
138,யவனராணி - 2,சாண்டில்யன்,,
139,ராணா ஹமீர்,சாண்டில்யன்,வானதி பதிப்பகம்,1982
140,ராணியின் கனவு,சாண்டில்யன்,வானதி பதிப்பகம்,1994
141,ராஜ திலகம் ,சாண்டில்யன்,வானதி பதிப்பகம்,2016
142,ராஜ பேரிகை ,சாண்டில்யன்,,
143,ராஜ யோகம்,சாண்டில்யன்,வானதி பதிப்பகம்,2016
144,ராஜ்ய ஸ்ரீ,சாண்டில்யன்,வானதி பதிப்பகம்,2016
145,ராஜ்ய ஸ்ரீ,சாண்டில்யன்,வானதி பதிப்பகம்,2015
146,ராஜா முத்திரை - 1,சாண்டில்யன்,,
147,ராஜா முத்திரை - 2,சாண்டில்யன்,,
148,விலை ராணி,சாண்டில்யன்,வானதி பதிப்பகம்,2016
149,விலை ராணி  ,சாண்டில்யன்,குங்குமம் தொகுப்பு,1983
150,விஜய மகாதேவி - 1,சாண்டில்யன்,பாரதி பதிப்பகம்,2004
151,விஜய மகாதேவி - 2,சாண்டில்யன்,,
152,விஜய மகாதேவி - 3,சாண்டில்யன்,பாரதி பதிப்பகம்,2004
153,ஜல தீபம்- 1 ,சாண்டில்யன்,வானதி பதிப்பகம்,2016
154,ஜல தீபம்- 2,சாண்டில்யன்,வானதி பதிப்பகம்,2016
155,ஜல தீபம்- 3,சாண்டில்யன்,வானதி பதிப்பகம்,2016
156,ஜல மோகினி,சாண்டில்யன்,வானதி பதிப்பகம்,2016
157,ஜீவ பூமி,சாண்டில்யன்,வானதி பதிப்பகம்,2017
158,ஸ்ரீ ராமானுஜர்,சாண்டில்யன்,வானதி பதிப்பகம்,1991
159,முள்க்கிரிடம்,சு.பகத்சிங்,,
160,காந்தலூர் வசந்தகுமாரன் கதை,சுஜாதா,பாரதி பதிப்பகம்,2004
161,விடிவதற்குள் வா!,சுஜாதா,விசா பப்ளிகேசன்,2006
162,மருதநாயகம்,செ.திவான்,,
163,ஜெய ஜெய பவானி - 1,சௌரி,கங்கை புத்தகநிலையம்,1996
164,ஜெய ஜெய பவானி - 2,சௌரி,,
165,கண்டராதித்தன் காதல்,டாக்டர் பூவண்ணன் ,வானதி பதிப்பகம்,2007
166,குற்றால குறிஞ்சி,டாக்டர்.கோ.வி.மணிசேகரன்,பூம்புகார் பதிப்பகம் ,2012
167,காஞ்சி கதிரவன்,டாக்டர்.கோ.வி.மணிசேகரன்,பூம்புகார் பதிப்பகம் ,2012
168,ராஜ நட்பு,டாக்டர்.பாவண்ணன்,வானதி பதிப்பகம்,2005
169,ஒற்றை செருப்புகள்,தா.மு.ஏ.ச,இந்தியன் வங்கி ஊழியர்,2001
170,வீரவெங்கல ராஜா,தாமரை செந்தூர் பாண்டி,சிவசாமி புத்தக நிலையம்,1999
171,தேன் மலைக்கன்னி,தாமரை மணாளன் ,திருவரசு புத்தகநிலையம்,2002
172,பாமினி பாவை,தாமரை மணாளன்,கங்கை புத்தகநிலையம்,1997
173,தேன் மலைக்கன்னி,தாமரை மணாளன் ,,
174,"தமிழக வரலாறு வரிசை- 1 
பாண்டியர் வரலாறு ",தி.வை.சதாசிவ பண்டாரத்தார்,அமிழ்தம் பதிப்பகம்,2008
175,"தமிழக வரலாறு வரிசை- 2 
பிற்கால சோழர் சரித்திரம்-1",தி.வை.சதாசிவ பண்டாரத்தார்,அமிழ்தம் பதிப்பகம்,2008
176,"தமிழக வரலாறு வரிசை- 3 
பிற்கால சோழர் சரித்திரம்-2",தி.வை.சதாசிவ பண்டாரத்தார்,அமிழ்தம் பதிப்பகம்,2008
177,வம்சதாரா -2,திவாகர்,நர்மதா பதிப்பகம்,2003
178,வம்சதாரா -1,திவாகர்,நர்மதா பதிப்பகம்,2003
179,திருமலை திருடன் ,திவாகர்,,
180,கன்னிப் போர்,தீபா ,,
181,சேதுநாட்டு செல்லக்கிளி ,தென்னரசு,சீதை பதிப்பகம்,2012
182,கர்ணன் பரம்பரை,நரசிம்மா,வானதி பதிப்பகம்,2010
183,நீள் துயில்,நா.கல்யாணிமணியம் ,சித்தன் கலைக்கூடம்,2009
184,கபாடபுரம்,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2002
185,நித்திலவல்லி,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2002
186,பாண்டிமா தேவி,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2000
187,பாண்டிமா தேவி,நா.பார்த்தசாரதி,திருமகள் நிலையம்,2012
188,மணி பல்லவம்,நா.பார்த்தசாரதி,,
189,மணி பல்லவம்,நா.பார்த்தசாரதி,சீதை பதிப்பகம்,2012
190,ராணி மங்கம்மாள்,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2002
191,ராணி மங்கம்மாள் ,நா.பார்த்தசாரதி,சீதை பதிப்பகம்,2012
192,வஞ்சி மாநகரம்,நா.பார்த்தசாரதி,சீதை பதிப்பகம்,2011
193,வஞ்சி மாநகரம்,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2002
194,வெற்றி முழக்கம்,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2003
195,முத்தழகி ,நாஞ்சில்மன்னன் ,,
196,ஆயிரத்து ஓர் இரவுகள் ,பட்டத்தி மைந்தன்,ராமையா பதிப்பகம்,2011
197,பாண்டியன் நாயகன்,பாரதிதாசன்,,
198,சந்திர வதனா - 1,பால சுப்பிரமணியன் ,கலைஞன் பதிப்பகம்,1998
199,சந்திர வதனா - 2,பால சுப்பிரமணியன் ,கலைஞன் பதிப்பகம்,1998
200,சந்திர வதனா - 3,பால சுப்பிரமணியன் ,கலைஞன் பதிப்பகம்,1998
201,சந்திர வதனா - 4,பால சுப்பிரமணியன் ,கலைஞன் பதிப்பகம்,1998
202,உடையார் - 1,பாலகுமாரன்,விசா பப்ளிகேசன்,2002
203,உடையார் - 2,பாலகுமாரன்,விசா பப்ளிகேசன்,2002
204,உடையார் - 6,பாலகுமாரன் ,விசா பப்ளிகேசன்,2006
205,கங்கை கொண்ட சோழன் - 3,பாலகுமாரன் ,விசா பப்ளிகேசன்,2014
206,காதல் அரங்கம் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2002
207,பெண்ணாசை ,பாலகுமாரன்,விசா பப்ளிகேசன்,2011
208,தமிழக வரலாற்று களஞ்சியம்- 1 ,பாலன் ,வானதி பதிப்பகம்,2014
209,தமிழக வரலாற்று களஞ்சியம்- 2,பாலன் ,வானதி பதிப்பகம்,2014
210,தமிழக வரலாற்று களஞ்சியம்- 3,பாலன் ,வானதி பதிப்பகம்,2014
211,மருத நாயகம் (யூசுப் கான்),பாஸ்கரதாசன்,,
212,தீரன் சின்னமலை,பாஸ்கரதாசன்,கொங்கு நூல் பதிப்பகம்,2008
213,"தமிழக வரலாறு வரிசை- 8 
தமிழக வரலாறு",புலவர் குழந்தை,அமிழ்தம் பதிப்பகம்,2008
214,மரகத மகுடம் ,பொன்.பரமகுரு,பூம்புகார் பதிப்பகம் ,1993
215,விடுதலை போரில் புலித்தேவன்,ம.நடராசன்,தமிழ் அரசி பதிப்பகம்,2002
216,சாணக்கியன் சாம்ராஜ்யம்,மகரிஷி,நிவேதிதா பதிப்பகம்,2007
217,வந்தார்கள் வென்றார்கள்,மதன்,,
218,இதய ரோஜா,மதுரம் சுந்தரேசன்,வானதி பதிப்பகம்,2011
219,இருபதாவது இல்லத்தரசி,மதுரம் சுந்தரேசன்,வானதி பதிப்பகம்,2010
220,நிழல் இளவரசி,மதுரம் சுந்தரேசன்,வானதி பதிப்பகம்,2013
221,மஞ்சள் மாடத்து நிலவு,மதுரா ,கங்கை புத்தகநிலையம்,2007
222,"தமிழக வரலாறு வரிசை- 6 
கொங்குநாட்டு வரலாறு, துளுவநாட்டு வரலாறு",மயிலை சினி.வேங்கடசாமி,அமிழ்தம் பதிப்பகம்,2008
223,"தமிழக வரலாறு வரிசை- 7 
களப்பிரர் காலத்தமிழகம்",மயிலை சினி.வேங்கடசாமி,அமிழ்தம் பதிப்பகம்,2008
224,திப்பு சுல்தான்,மருதன்,,
225,"தமிழக வரலாறு வரிசை- 5 
பல்லவர் வரலாறு",மா.இராசமாணிக்கனார்,அமிழ்தம் பதிப்பகம்,2008
226,கடாரம் ,மாயா,,
227,விஜயதரங்கிணி,முகிலன்,திருவரசு புத்தகநிலையம்,2007
228,நான் கிருஷ்ணா தேவராயன் - 1,ரா.கி.ரங்கராஜன்,வானதி பதிப்பகம்,2001
229,நான் கிருஷ்ணா தேவராயன் - 2,ரா.கி.ரங்கராஜன்,வானதி பதிப்பகம்,2001
